title,company_name,description,skills_requirements,location,stipend,category,application_deadline,is_remote
Software Engineering Intern,Freshworks,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Data Analysis, Finance Basics, GCP, Machine Learning, TensorFlow",Pune,,Artificial Intelligence,2026-02-05,False
Backend Developer Intern,Zomato,Work on real-time projects used by thousands of users while learning from senior mentors.,"Excel, JavaScript, Problem Solving, Tableau, Teamwork",Jaipur,9925-37059,Finance,2026-02-22,False
Data Science Intern,NVIDIA,Work on real-time projects used by thousands of users while learning from senior mentors.,"Data Analysis, PyTorch, Teamwork",Kolkata,,Artificial Intelligence,2026-02-05,False
Data Science Intern,Zoho,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Communication Skills, Creativity, JavaScript, UI/UX Design",Bangalore,24423-33672,UI/UX Design,2026-03-22,False
Business Analyst Intern,Swiggy,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","C, Cybersecurity, Data Analysis, REST APIs, React",Ahmedabad,7834-23462,Software Development,2026-01-06,False
Machine Learning Intern,Meesho,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Data Analysis, Deep Learning, PyTorch, Python, Teamwork",Pune,21704-30794,Machine Learning,2026-07-11,False
Cybersecurity Intern,Microsoft,Work on real-time projects used by thousands of users while learning from senior mentors.,"Communication Skills, Excel, GCP, Power BI, Problem Solving, SQL, Tableau",Ahmedabad,,Business / Analytics,2026-05-04,False
Frontend Developer Intern,Freshworks,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Azure, Excel, GCP, Git/GitHub, Linux",Kolkata,,Cloud / DevOps,2026-04-08,False
QA / Test Automation Intern,Adobe,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Communication Skills, Docker, HTML/CSS, SQL",Ahmedabad,7244-27306,Business / Analytics,2026-02-04,False
Cloud Engineering Intern,Meesho,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Creativity, Data Analysis, Figma, Leadership, TensorFlow",Kolkata,,Product,2026-01-22,False
Machine Learning Intern,Meesho,Work on real-time projects used by thousands of users while learning from senior mentors.,"Creativity, Data Analysis, Tableau, Time Management",Ahmedabad,23688-42811,Product,2026-06-17,False
Software Engineering Intern,Ola,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Data Analysis, Kubernetes, Problem Solving",Kolkata,6424-22492,Finance,2026-07-09,False
Machine Learning Intern,NVIDIA,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","PyTorch, Python, Tableau",Pune,14738-18789,Artificial Intelligence,2026-03-31,False
Growth Intern,Freshworks,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Communication Skills, Data Analysis, NumPy, Product Sense, Statistics, Teamwork",Gurgaon,17528-27274,Data Science,2026-06-28,False
Product Management Intern,Byjus,Work on real-time projects used by thousands of users while learning from senior mentors.,"Communication Skills, Deep Learning, Kubernetes, Linux, Product Sense",Jaipur,19251-41244,Product,2026-02-13,False
DevOps Intern,TCS,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","AWS, Data Analysis, Excel, REST APIs, Statistics",Gurgaon,16470-20757,Finance,2025-12-24,False
Data Analyst Intern,PhonePe,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Communication Skills, Creativity, Data Analysis, Leadership, Product Sense, React",Hyderabad,,Product,2025-12-11,False
Mobile App Developer Intern,Intel,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Azure, C, Cybersecurity, Kubernetes, Linux, Networking, Problem Solving, Python",Bangalore,,Cybersecurity,2026-04-02,False
NLP Intern,Adobe,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","AWS, Cybersecurity, Python, Tableau, Teamwork",Jaipur,22647-34570,Cybersecurity,2026-01-22,False
Mobile App Developer Intern,Google,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Data Analysis, Deep Learning, Machine Learning, NLP, PyTorch, TensorFlow",Kolkata,12462-38898,Artificial Intelligence,2026-05-03,False
AI Research Intern,IBM,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","AWS, Azure, Cloud Computing, GCP, JavaScript, Linux",Ahmedabad,21560-26594,Cloud / DevOps,2026-02-13,False
Data Analyst Intern,Swiggy,Work on real-time projects used by thousands of users while learning from senior mentors.,"AWS, Communication Skills, Creativity, Data Analysis, Marketing Basics, Statistics",Chennai,19170-33092,Marketing / Growth,2026-07-23,False
Growth Intern,Meesho,High-performing interns may be considered for full-time offers or extended internships.,"C++, Statistics, TensorFlow, Time Management",Chennai,9956-17411,Machine Learning,2025-12-19,False
Marketing Intern,Flipkart,Design and develop user-facing features while collaborating closely with design and product.,"Deep Learning, Docker, HTML/CSS, Leadership, NLP, PyTorch, TensorFlow",Chennai,8096-16144,Artificial Intelligence,2026-04-05,False
Business Analyst Intern,CRED,Design and develop user-facing features while collaborating closely with design and product.,"Azure, Communication Skills, Creativity, Data Analysis",Delhi,13006-22364,UI/UX Design,2026-02-26,False
Data Science Intern,Google,Design and develop user-facing features while collaborating closely with design and product.,"C, Java, React, Teamwork",Ahmedabad,24922-54234,Software Development,2026-04-16,False
Backend Developer Intern,Amazon,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Cybersecurity, Data Analysis, Deep Learning, PyTorch, Python",Mumbai,8813-36879,Artificial Intelligence,2026-05-06,False
Full Stack Developer Intern,Paytm,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Cybersecurity, Deep Learning, HTML/CSS, Linux, Networking, Python",Mumbai,23595-31582,Cybersecurity,2026-07-11,False
Product Management Intern,Ola,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Communication Skills, Data Analysis, GCP, Marketing Basics, NLP, NumPy",Noida,13258-18229,Marketing / Growth,2026-05-14,False
AI Research Intern,Ola,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Communication Skills, Data Analysis, Excel, Git/GitHub, HTML/CSS, Python",Bangalore,21278-40031,Business / Analytics,2026-07-06,False
Machine Learning Intern,CRED,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Excel, Machine Learning, Pandas, Python, React, SQL, Statistics, Tableau",Delhi,,Data Science,2026-02-11,False
Full Stack Developer Intern,CRED,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Data Analysis, Linux, Machine Learning, NLP, Power BI, Statistics, TensorFlow",Gurgaon,,Machine Learning,2025-12-14,False
DevOps Intern,Adobe,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Azure, Cybersecurity, Docker, Excel, Power BI, SQL",Gurgaon,9468-20996,Business / Analytics,2026-04-16,False
Product Management Intern,Meesho,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Communication Skills, Creativity, Cybersecurity, Data Analysis, Java, Marketing Basics, Power BI",Remote,6963-17217,Marketing / Growth,2026-07-11,True
Growth Intern,Amazon,Design and develop user-facing features while collaborating closely with design and product.,"Creativity, Deep Learning, Leadership, NLP, Networking, Statistics, TensorFlow",Remote,,Machine Learning,2026-03-23,True
Product Management Intern,CRED,"Work in a student-friendly environment that values learning, feedback and long-term growth.","AWS, Deep Learning, Leadership, Machine Learning, PyTorch, Python, TensorFlow",Pune,,Artificial Intelligence,2026-07-26,False
Data Science Intern,Reliance,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Deep Learning, Linux, Problem Solving, Python",Pune,22471-36364,Cybersecurity,2026-03-11,False
Software Engineering Intern,IBM,High-performing interns may be considered for full-time offers or extended internships.,"Communication Skills, Marketing Basics, SQL, Statistics",Mumbai,11798-16516,Marketing / Growth,2026-07-26,False
DevOps Intern,Amazon,High-performing interns may be considered for full-time offers or extended internships.,"Finance Basics, Git/GitHub, Kubernetes, Linux, Problem Solving",Pune,19723-29183,Cloud / DevOps,2026-05-20,False
Software Engineering Intern,Intel,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Communication Skills, Excel, Leadership, SQL",Gurgaon,,Business / Analytics,2026-06-04,False
Marketing Intern,Salesforce,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Azure, Power BI, Python, SQL",Remote,24293-43812,Business / Analytics,2026-04-15,True
Frontend Developer Intern,NVIDIA,High-performing interns may be considered for full-time offers or extended internships.,"Communication Skills, Creativity, Data Analysis, GCP, Marketing Basics",Bangalore,11334-29609,Marketing / Growth,2026-01-28,False
Growth Intern,TCS,Work on real-time projects used by thousands of users while learning from senior mentors.,"Communication Skills, Creativity, Teamwork, UI/UX Design",Kolkata,,UI/UX Design,2025-12-11,False
Frontend Developer Intern,Swiggy,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Communication Skills, Creativity, Docker, Power BI, Tableau, UI/UX Design",Kolkata,,Business / Analytics,2026-02-26,False
Cloud Engineering Intern,Wipro,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Creativity, Data Analysis, HTML/CSS, Leadership, Product Sense, Teamwork",Chennai,12723-18003,Product,2026-01-28,False
UI/UX Design Intern,IBM,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Communication Skills, Excel, Figma",Gurgaon,,UI/UX Design,2026-06-16,False
Backend Developer Intern,Paytm,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Deep Learning, Java, Problem Solving, Product Sense, Python, React",Gurgaon,11711-37686,Software Development,2026-01-31,False
Finance Intern,TCS,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Azure, Data Analysis, Deep Learning, Excel, Finance Basics, NLP, Problem Solving, Statistics",Delhi,,Finance,2026-01-30,False
QA / Test Automation Intern,Swiggy,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Cybersecurity, Data Analysis, Excel, Java, Machine Learning, Power BI, SQL",Jaipur,10075-19323,Business / Analytics,2026-03-27,False
Machine Learning Intern,Zoho,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","C, HTML/CSS, Java, Problem Solving, REST APIs",Ahmedabad,11509-36157,Software Development,2026-04-10,False
Growth Intern,Flipkart,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Communication Skills, Data Analysis, HTML/CSS, NLP, PyTorch",Noida,,Business / Analytics,2026-07-06,False
Full Stack Developer Intern,Accenture,High-performing interns may be considered for full-time offers or extended internships.,"Cybersecurity, Data Analysis, Figma, Linux, Problem Solving, Python, Tableau",Ahmedabad,,Cybersecurity,2026-05-02,False
Software Engineering Intern,Salesforce,Work on real-time projects used by thousands of users while learning from senior mentors.,"Data Analysis, Marketing Basics, Product Sense",Hyderabad,23792-31479,Marketing / Growth,2026-01-13,False
Cybersecurity Intern,Meesho,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Azure, Docker, GCP, Java, Linux, Power BI",Remote,10268-19475,Cloud / DevOps,2026-03-15,True
Finance Intern,Intel,Design and develop user-facing features while collaborating closely with design and product.,"Excel, Pandas, Power BI, Statistics",Noida,12621-20678,Data Science,2026-06-13,False
Software Engineering Intern,Infosys,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","NumPy, Pandas, SQL, Time Management",Chennai,,Data Science,2026-06-04,False
Product Management Intern,PhonePe,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Creativity, PyTorch, TensorFlow",Bangalore,5777-28737,Artificial Intelligence,2026-05-21,False
Cybersecurity Intern,Paytm,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Cloud Computing, Git/GitHub, React, Teamwork",Kolkata,7372-25350,Cloud / DevOps,2026-07-12,False
AI Research Intern,Adobe,"Solve practical business problems with data and models, and build a strong portfolio of projects.","AWS, Cybersecurity, Deep Learning, Linux, Machine Learning, Networking, Problem Solving, Python",Bangalore,12050-38589,Cybersecurity,2026-01-31,False
Frontend Developer Intern,Salesforce,Design and develop user-facing features while collaborating closely with design and product.,"Communication Skills, Excel, Figma, Kubernetes, Power BI, Product Sense, SQL, Tableau",Jaipur,,Business / Analytics,2026-04-25,False
UI/UX Design Intern,PhonePe,Design and develop user-facing features while collaborating closely with design and product.,"Data Analysis, Excel, Networking, Power BI, SQL, Tableau",Bangalore,19998-36981,Business / Analytics,2026-03-02,False
Full Stack Developer Intern,Meesho,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","AWS, Git/GitHub, Problem Solving, REST APIs, SQL",Jaipur,22095-44404,Software Development,2026-04-24,False
Cybersecurity Intern,Zoho,Work on real-time projects used by thousands of users while learning from senior mentors.,"Communication Skills, Data Analysis, Excel, Figma, HTML/CSS, Power BI, Problem Solving, SQL",Bangalore,17692-45765,Business / Analytics,2026-04-29,False
Data Analyst Intern,Accenture,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Communication Skills, Creativity, Data Analysis, Java, Marketing Basics",Pune,19480-25407,Marketing / Growth,2026-07-15,False
Data Analyst Intern,IBM,Work on real-time projects used by thousands of users while learning from senior mentors.,"Communication Skills, Data Analysis, Figma, NumPy, REST APIs, Statistics",Delhi,5639-28096,Data Science,2026-03-15,False
QA / Test Automation Intern,TCS,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Data Analysis, NLP, Power BI, Tableau, TensorFlow, Time Management",Gurgaon,,Business / Analytics,2026-07-21,False
Backend Developer Intern,Uber,Work on real-time projects used by thousands of users while learning from senior mentors.,"Docker, Java, JavaScript, Pandas, Python",Hyderabad,,Software Development,2025-12-14,False
QA / Test Automation Intern,Flipkart,Work on real-time projects used by thousands of users while learning from senior mentors.,"Deep Learning, HTML/CSS, Power BI, Tableau, Teamwork",Mumbai,,Business / Analytics,2026-05-14,False
Data Science Intern,Reliance,Design and develop user-facing features while collaborating closely with design and product.,"C, Data Analysis, Deep Learning, Machine Learning, PyTorch, TensorFlow",Delhi,11963-34525,Artificial Intelligence,2026-06-28,False
Product Management Intern,NVIDIA,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","AWS, Machine Learning, NumPy, Pandas, SQL, Statistics",Ahmedabad,11594-31471,Data Science,2026-05-16,False
DevOps Intern,Google,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Data Analysis, Machine Learning, Power BI",Ahmedabad,21139-38839,Business / Analytics,2025-12-16,False
Business Analyst Intern,Ola,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Leadership, NLP, SQL, Teamwork, UI/UX Design",Bangalore,,Product,2025-12-18,False
UI/UX Design Intern,Intel,Design and develop user-facing features while collaborating closely with design and product.,"Communication Skills, HTML/CSS, Machine Learning, Power BI",Chennai,19396-22516,Business / Analytics,2026-06-01,False
Cybersecurity Intern,Zoho,High-performing interns may be considered for full-time offers or extended internships.,"Excel, NLP, NumPy, Power BI, Tableau",Bangalore,14899-30131,Business / Analytics,2026-01-30,False
Full Stack Developer Intern,Freshworks,Work on real-time projects used by thousands of users while learning from senior mentors.,"NumPy, Pandas, SQL",Remote,5832-11730,Data Science,2026-01-25,True
Full Stack Developer Intern,Paytm,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Excel, Pandas, PyTorch, TensorFlow, UI/UX Design",Chennai,21160-43701,Artificial Intelligence,2025-12-20,False
Frontend Developer Intern,Meesho,High-performing interns may be considered for full-time offers or extended internships.,"Communication Skills, Data Analysis, Excel, Pandas, Power BI, Statistics",Bangalore,8389-13572,Business / Analytics,2026-05-25,False
Mobile App Developer Intern,Accenture,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Figma, Problem Solving, Python",Remote,5036-17858,Cybersecurity,2025-12-31,True
Product Management Intern,Google,Work on real-time projects used by thousands of users while learning from senior mentors.,"C, Creativity, Figma, JavaScript, UI/UX Design",Kolkata,7868-13996,UI/UX Design,2026-02-10,False
Cloud Engineering Intern,Microsoft,High-performing interns may be considered for full-time offers or extended internships.,"Communication Skills, Creativity, Cybersecurity, Figma, NumPy, Time Management",Delhi,,UI/UX Design,2026-04-03,False
Data Analyst Intern,Zomato,Work on real-time projects used by thousands of users while learning from senior mentors.,"Communication Skills, Creativity, Data Analysis, Deep Learning",Jaipur,11374-15162,Marketing / Growth,2026-04-08,False
AI Research Intern,Ola,Design and develop user-facing features while collaborating closely with design and product.,"Cybersecurity, Finance Basics, Linux, Machine Learning, Networking, Problem Solving, Python, Tableau",Pune,,Cybersecurity,2026-04-03,False
Growth Intern,Freshworks,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Finance Basics, HTML/CSS, Machine Learning, Teamwork, TensorFlow",Hyderabad,7721-16650,Machine Learning,2026-01-17,False
Machine Learning Intern,Wipro,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Cybersecurity, GCP, Linux, Networking",Mumbai,15325-19402,Cybersecurity,2026-02-05,False
Cybersecurity Intern,Uber,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Communication Skills, Creativity, Machine Learning, Power BI",Noida,5549-32002,Business / Analytics,2026-01-08,False
Machine Learning Intern,Reliance,High-performing interns may be considered for full-time offers or extended internships.,"Finance Basics, Java, JavaScript, React, SQL",Bangalore,,Software Development,2026-06-03,False
Growth Intern,Google,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","HTML/CSS, Leadership, Problem Solving, React",Kolkata,,Software Development,2026-07-15,False
UI/UX Design Intern,Microsoft,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Azure, Machine Learning, Power BI, Product Sense, Python, SQL, Statistics",Noida,7244-28273,Data Science,2025-12-20,False
Growth Intern,Zoho,Work on real-time projects used by thousands of users while learning from senior mentors.,"Cloud Computing, Communication Skills, Creativity, Data Analysis, Kubernetes, Leadership, Teamwork",Hyderabad,21945-39792,Product,2026-06-20,False
Software Engineering Intern,Microsoft,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Data Analysis, Excel, Finance Basics, Problem Solving, Python, SQL, Statistics, TensorFlow",Hyderabad,,Finance,2026-02-20,False
Data Analyst Intern,Swiggy,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Communication Skills, Creativity, Product Sense, REST APIs",Gurgaon,21794-28061,Product,2026-07-14,False
Software Engineering Intern,Flipkart,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Communication Skills, Data Analysis, REST APIs",Kolkata,14109-32625,Marketing / Growth,2025-12-17,False
Business Analyst Intern,Microsoft,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Communication Skills, Creativity, Data Analysis, Excel, Marketing Basics, Time Management",Mumbai,5340-10393,Marketing / Growth,2026-04-30,False
Product Management Intern,Adobe,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Data Analysis, Excel, Finance Basics, Java, Problem Solving, Time Management",Gurgaon,,Finance,2026-05-21,False
Marketing Intern,Paytm,Work on real-time projects used by thousands of users while learning from senior mentors.,"Azure, Git/GitHub, Machine Learning, NumPy, PyTorch, Python, TensorFlow",Pune,,Artificial Intelligence,2026-06-21,False
Data Analyst Intern,Amazon,Design and develop user-facing features while collaborating closely with design and product.,"AWS, Data Analysis, Kubernetes, Power BI, Product Sense, SQL",Jaipur,,Business / Analytics,2026-06-15,False
DevOps Intern,Accenture,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Communication Skills, Cybersecurity, Finance Basics, Leadership, NLP, Product Sense, Teamwork",Bangalore,,Product,2026-05-20,False
AI Research Intern,Reliance,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Cloud Computing, Cybersecurity, Leadership, Linux, Problem Solving, Python, REST APIs",Mumbai,21726-24028,Cybersecurity,2026-05-03,False
Backend Developer Intern,Salesforce,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","AWS, C, C++, Java, JavaScript, Pandas, Python",Delhi,,Software Development,2025-12-11,False
AI Research Intern,Byjus,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","AWS, Azure, Cloud Computing, GCP, Kubernetes, Teamwork, Time Management",Bangalore,,Cloud / DevOps,2026-01-12,False
Data Science Intern,Uber,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Deep Learning, JavaScript, Machine Learning, NLP, Python, TensorFlow",Mumbai,11662-36635,Artificial Intelligence,2026-04-08,False
Mobile App Developer Intern,Paytm,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Communication Skills, Creativity, Networking",Chennai,13146-33024,UI/UX Design,2026-06-06,False
Marketing Intern,Amazon,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Excel, Networking, NumPy, Tableau",Hyderabad,13991-22315,Data Science,2026-03-31,False
Business Analyst Intern,Accenture,"Solve practical business problems with data and models, and build a strong portfolio of projects.","C++, Creativity, Data Analysis, JavaScript, Leadership, Machine Learning, Product Sense, Teamwork",Chennai,,Product,2025-12-10,False
Business Analyst Intern,Adobe,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Excel, PyTorch, SQL, Tableau, TensorFlow",Remote,,Business / Analytics,2026-07-24,True
Mobile App Developer Intern,PhonePe,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Machine Learning, NumPy, Pandas, SQL, Statistics",Delhi,11463-18981,Data Science,2026-05-14,False
Cybersecurity Intern,Uber,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","AWS, Docker, GCP, Product Sense, React, UI/UX Design",Bangalore,,Cloud / DevOps,2026-02-21,False
Frontend Developer Intern,TCS,Design and develop user-facing features while collaborating closely with design and product.,"Excel, Finance Basics, SQL",Gurgaon,10898-17323,Business / Analytics,2026-06-11,False
Data Science Intern,PhonePe,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Cybersecurity, Data Analysis, Product Sense, Python, Statistics, Tableau",Pune,,Data Science,2026-03-01,False
Product Management Intern,PhonePe,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Cybersecurity, Kubernetes, Linux, Networking, Problem Solving, Python, Statistics",Bangalore,5612-26698,Cybersecurity,2026-01-29,False
Business Analyst Intern,Uber,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Azure, Communication Skills, Creativity, Figma, Leadership, Python, Teamwork",Delhi,16774-26813,Product,2025-12-23,False
Product Management Intern,Google,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Communication Skills, Creativity, Java, Leadership, NumPy, Product Sense, Teamwork",Noida,,Product,2026-07-29,False
AI Research Intern,Adobe,High-performing interns may be considered for full-time offers or extended internships.,"C, Communication Skills, Creativity, Marketing Basics, Teamwork",Chennai,7887-35503,Marketing / Growth,2026-03-17,False
Cloud Engineering Intern,Zoho,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Communication Skills, Creativity, Figma, JavaScript, Pandas, UI/UX Design",Chennai,,UI/UX Design,2026-03-29,False
Software Engineering Intern,Meesho,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Leadership, Machine Learning, NLP, Python, Statistics, TensorFlow, Time Management",Mumbai,,Machine Learning,2026-07-03,False
Product Management Intern,Freshworks,"Solve practical business problems with data and models, and build a strong portfolio of projects.","AWS, Data Analysis, Deep Learning, Figma, Machine Learning, NLP, Python, Tableau",Kolkata,24174-42734,Artificial Intelligence,2026-05-13,False
Finance Intern,Uber,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Deep Learning, NLP, PyTorch, Teamwork",Ahmedabad,11005-16337,Artificial Intelligence,2026-02-09,False
Growth Intern,Zoho,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","JavaScript, Python, REST APIs",Mumbai,13202-16845,Software Development,2026-03-19,False
Cybersecurity Intern,Wipro,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","AWS, Machine Learning, NumPy, Product Sense, SQL, Statistics, Tableau, Teamwork",Gurgaon,17423-46628,Data Science,2026-05-08,False
DevOps Intern,Paytm,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","C, GCP, Java, Problem Solving, React",Delhi,,Software Development,2026-04-13,False
Data Science Intern,Paytm,Work on real-time projects used by thousands of users while learning from senior mentors.,"Linux, Machine Learning, PyTorch, Python, Statistics",Delhi,16183-27264,Machine Learning,2025-12-29,False
Mobile App Developer Intern,Reliance,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Docker, Excel, Problem Solving, Statistics, TensorFlow",Gurgaon,24072-52103,Finance,2026-06-18,False
Growth Intern,Freshworks,Work on real-time projects used by thousands of users while learning from senior mentors.,"C++, Cybersecurity, Linux, Marketing Basics, Problem Solving, Python, UI/UX Design",Mumbai,16708-32255,Cybersecurity,2026-05-25,False
Data Science Intern,PhonePe,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Data Analysis, Java, Leadership, Problem Solving, Teamwork",Remote,,Product,2026-02-24,True
DevOps Intern,CRED,High-performing interns may be considered for full-time offers or extended internships.,"Creativity, Data Analysis, GCP, Marketing Basics",Remote,16413-25141,Marketing / Growth,2026-05-27,True
DevOps Intern,Byjus,Work on real-time projects used by thousands of users while learning from senior mentors.,"Cloud Computing, Data Analysis, GCP, Power BI, Product Sense, Python, Statistics, Tableau",Ahmedabad,20413-45568,Data Science,2026-07-14,False
Growth Intern,Zomato,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Git/GitHub, Java, JavaScript, Leadership, REST APIs, React",Kolkata,18356-32933,Software Development,2026-05-04,False
Cybersecurity Intern,PhonePe,Design and develop user-facing features while collaborating closely with design and product.,"Data Analysis, Power BI, SQL, Tableau, UI/UX Design",Chennai,22393-44411,Business / Analytics,2026-02-03,False
Finance Intern,NVIDIA,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","HTML/CSS, Java, JavaScript, Problem Solving, Python, React",Ahmedabad,16256-32586,Software Development,2026-06-02,False
Machine Learning Intern,Amazon,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","C, C++, Java, Marketing Basics, Problem Solving, Python, REST APIs",Kolkata,16444-24092,Software Development,2026-06-20,False
NLP Intern,Swiggy,Design and develop user-facing features while collaborating closely with design and product.,"Data Analysis, Excel, Finance Basics, Git/GitHub, Problem Solving, Statistics",Pune,22908-49974,Finance,2026-02-06,False
DevOps Intern,Flipkart,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","AWS, Java, Kubernetes, Problem Solving, Tableau",Mumbai,,Cloud / DevOps,2026-06-13,False
Growth Intern,Amazon,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Communication Skills, Data Analysis, Leadership, Power BI, Tableau",Remote,9734-19214,Business / Analytics,2025-12-24,True
AI Research Intern,PhonePe,Work on real-time projects used by thousands of users while learning from senior mentors.,"AWS, Azure, GCP, Python",Ahmedabad,5833-30382,Cloud / DevOps,2026-03-29,False
UI/UX Design Intern,Paytm,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Communication Skills, Data Analysis, Marketing Basics, Product Sense",Pune,6580-9215,Marketing / Growth,2026-04-15,False
Growth Intern,Amazon,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Data Analysis, Excel, Finance Basics, Problem Solving, Product Sense, Python",Chennai,12869-23934,Finance,2026-02-20,False
Data Analyst Intern,Freshworks,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","C++, Communication Skills, Data Analysis, Leadership, Product Sense, SQL, Teamwork, UI/UX Design",Mumbai,,Product,2026-02-15,False
NLP Intern,Ola,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","AWS, Deep Learning, Finance Basics, GCP, Machine Learning, NLP, PyTorch, Python",Mumbai,11479-37596,Machine Learning,2026-03-23,False
Marketing Intern,Uber,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Creativity, Data Analysis, HTML/CSS, SQL, TensorFlow",Remote,24624-52071,Marketing / Growth,2026-03-05,True
DevOps Intern,Amazon,Design and develop user-facing features while collaborating closely with design and product.,"JavaScript, Statistics, Tableau",Jaipur,18674-22943,Data Science,2026-05-23,False
Marketing Intern,Paytm,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Communication Skills, Creativity, Data Analysis, HTML/CSS, Marketing Basics, Time Management",Hyderabad,18912-27414,Marketing / Growth,2026-01-24,False
